,source,target
61,D:\PROJECTS\Python_projects\PythonMain\data_task\61,D:\PROJECTS\Python_projects\PythonMain\data_solved\61
62,D:\PROJECTS\Python_projects\PythonMain\data_task\62,D:\PROJECTS\Python_projects\PythonMain\data_solved\62
63,D:\PROJECTS\Python_projects\PythonMain\data_task\63,D:\PROJECTS\Python_projects\PythonMain\data_solved\63
64,D:\PROJECTS\Python_projects\PythonMain\data_task\64,D:\PROJECTS\Python_projects\PythonMain\data_solved\64
65,D:\PROJECTS\Python_projects\PythonMain\data_task\65,D:\PROJECTS\Python_projects\PythonMain\data_solved\65
66,D:\PROJECTS\Python_projects\PythonMain\data_task\66,D:\PROJECTS\Python_projects\PythonMain\data_solved\66
67,D:\PROJECTS\Python_projects\PythonMain\data_task\67,D:\PROJECTS\Python_projects\PythonMain\data_solved\67
68,D:\PROJECTS\Python_projects\PythonMain\data_task\68,D:\PROJECTS\Python_projects\PythonMain\data_solved\68
69,D:\PROJECTS\Python_projects\PythonMain\data_task\69,D:\PROJECTS\Python_projects\PythonMain\data_solved\69
70,D:\PROJECTS\Python_projects\PythonMain\data_task\70,D:\PROJECTS\Python_projects\PythonMain\data_solved\70
71,D:\PROJECTS\Python_projects\PythonMain\data_task\71,D:\PROJECTS\Python_projects\PythonMain\data_solved\71
72,D:\PROJECTS\Python_projects\PythonMain\data_task\72,D:\PROJECTS\Python_projects\PythonMain\data_solved\72
73,D:\PROJECTS\Python_projects\PythonMain\data_task\73,D:\PROJECTS\Python_projects\PythonMain\data_solved\73
74,D:\PROJECTS\Python_projects\PythonMain\data_task\74,D:\PROJECTS\Python_projects\PythonMain\data_solved\74
75,D:\PROJECTS\Python_projects\PythonMain\data_task\75,D:\PROJECTS\Python_projects\PythonMain\data_solved\75
76,D:\PROJECTS\Python_projects\PythonMain\data_task\76,D:\PROJECTS\Python_projects\PythonMain\data_solved\76
77,D:\PROJECTS\Python_projects\PythonMain\data_task\77,D:\PROJECTS\Python_projects\PythonMain\data_solved\77
78,D:\PROJECTS\Python_projects\PythonMain\data_task\78,D:\PROJECTS\Python_projects\PythonMain\data_solved\78
79,D:\PROJECTS\Python_projects\PythonMain\data_task\79,D:\PROJECTS\Python_projects\PythonMain\data_solved\79
80,D:\PROJECTS\Python_projects\PythonMain\data_task\80,D:\PROJECTS\Python_projects\PythonMain\data_solved\80
81,D:\PROJECTS\Python_projects\PythonMain\data_task\81,D:\PROJECTS\Python_projects\PythonMain\data_solved\81
82,D:\PROJECTS\Python_projects\PythonMain\data_task\82,D:\PROJECTS\Python_projects\PythonMain\data_solved\82
83,D:\PROJECTS\Python_projects\PythonMain\data_task\83,D:\PROJECTS\Python_projects\PythonMain\data_solved\83
84,D:\PROJECTS\Python_projects\PythonMain\data_task\84,D:\PROJECTS\Python_projects\PythonMain\data_solved\84
85,D:\PROJECTS\Python_projects\PythonMain\data_task\85,D:\PROJECTS\Python_projects\PythonMain\data_solved\85
86,D:\PROJECTS\Python_projects\PythonMain\data_task\86,D:\PROJECTS\Python_projects\PythonMain\data_solved\86
87,D:\PROJECTS\Python_projects\PythonMain\data_task\87,D:\PROJECTS\Python_projects\PythonMain\data_solved\87
88,D:\PROJECTS\Python_projects\PythonMain\data_task\88,D:\PROJECTS\Python_projects\PythonMain\data_solved\88
89,D:\PROJECTS\Python_projects\PythonMain\data_task\89,D:\PROJECTS\Python_projects\PythonMain\data_solved\89
90,D:\PROJECTS\Python_projects\PythonMain\data_task\90,D:\PROJECTS\Python_projects\PythonMain\data_solved\90
91,D:\PROJECTS\Python_projects\PythonMain\data_task\91,D:\PROJECTS\Python_projects\PythonMain\data_solved\91
92,D:\PROJECTS\Python_projects\PythonMain\data_task\92,D:\PROJECTS\Python_projects\PythonMain\data_solved\92
93,D:\PROJECTS\Python_projects\PythonMain\data_task\93,D:\PROJECTS\Python_projects\PythonMain\data_solved\93
94,D:\PROJECTS\Python_projects\PythonMain\data_task\94,D:\PROJECTS\Python_projects\PythonMain\data_solved\94
95,D:\PROJECTS\Python_projects\PythonMain\data_task\95,D:\PROJECTS\Python_projects\PythonMain\data_solved\95
96,D:\PROJECTS\Python_projects\PythonMain\data_task\96,D:\PROJECTS\Python_projects\PythonMain\data_solved\96
97,D:\PROJECTS\Python_projects\PythonMain\data_task\97,D:\PROJECTS\Python_projects\PythonMain\data_solved\97
98,D:\PROJECTS\Python_projects\PythonMain\data_task\98,D:\PROJECTS\Python_projects\PythonMain\data_solved\98
99,D:\PROJECTS\Python_projects\PythonMain\data_task\99,D:\PROJECTS\Python_projects\PythonMain\data_solved\99
100,D:\PROJECTS\Python_projects\PythonMain\data_task\100,D:\PROJECTS\Python_projects\PythonMain\data_solved\100
101,D:\PROJECTS\Python_projects\PythonMain\data_task\101,D:\PROJECTS\Python_projects\PythonMain\data_solved\101
102,D:\PROJECTS\Python_projects\PythonMain\data_task\102,D:\PROJECTS\Python_projects\PythonMain\data_solved\102
103,D:\PROJECTS\Python_projects\PythonMain\data_task\103,D:\PROJECTS\Python_projects\PythonMain\data_solved\103
104,D:\PROJECTS\Python_projects\PythonMain\data_task\104,D:\PROJECTS\Python_projects\PythonMain\data_solved\104
105,D:\PROJECTS\Python_projects\PythonMain\data_task\105,D:\PROJECTS\Python_projects\PythonMain\data_solved\105
106,D:\PROJECTS\Python_projects\PythonMain\data_task\106,D:\PROJECTS\Python_projects\PythonMain\data_solved\106
107,D:\PROJECTS\Python_projects\PythonMain\data_task\107,D:\PROJECTS\Python_projects\PythonMain\data_solved\107
108,D:\PROJECTS\Python_projects\PythonMain\data_task\108,D:\PROJECTS\Python_projects\PythonMain\data_solved\108
109,D:\PROJECTS\Python_projects\PythonMain\data_task\109,D:\PROJECTS\Python_projects\PythonMain\data_solved\109
110,D:\PROJECTS\Python_projects\PythonMain\data_task\110,D:\PROJECTS\Python_projects\PythonMain\data_solved\110
111,D:\PROJECTS\Python_projects\PythonMain\data_task\111,D:\PROJECTS\Python_projects\PythonMain\data_solved\111
112,D:\PROJECTS\Python_projects\PythonMain\data_task\112,D:\PROJECTS\Python_projects\PythonMain\data_solved\112
113,D:\PROJECTS\Python_projects\PythonMain\data_task\113,D:\PROJECTS\Python_projects\PythonMain\data_solved\113
114,D:\PROJECTS\Python_projects\PythonMain\data_task\114,D:\PROJECTS\Python_projects\PythonMain\data_solved\114
115,D:\PROJECTS\Python_projects\PythonMain\data_task\115,D:\PROJECTS\Python_projects\PythonMain\data_solved\115
116,D:\PROJECTS\Python_projects\PythonMain\data_task\116,D:\PROJECTS\Python_projects\PythonMain\data_solved\116
117,D:\PROJECTS\Python_projects\PythonMain\data_task\117,D:\PROJECTS\Python_projects\PythonMain\data_solved\117
118,D:\PROJECTS\Python_projects\PythonMain\data_task\118,D:\PROJECTS\Python_projects\PythonMain\data_solved\118
119,D:\PROJECTS\Python_projects\PythonMain\data_task\119,D:\PROJECTS\Python_projects\PythonMain\data_solved\119
120,D:\PROJECTS\Python_projects\PythonMain\data_task\120,D:\PROJECTS\Python_projects\PythonMain\data_solved\120
121,D:\PROJECTS\Python_projects\PythonMain\data_task\121,D:\PROJECTS\Python_projects\PythonMain\data_solved\121
122,D:\PROJECTS\Python_projects\PythonMain\data_task\122,D:\PROJECTS\Python_projects\PythonMain\data_solved\122
123,D:\PROJECTS\Python_projects\PythonMain\data_task\123,D:\PROJECTS\Python_projects\PythonMain\data_solved\123
124,D:\PROJECTS\Python_projects\PythonMain\data_task\124,D:\PROJECTS\Python_projects\PythonMain\data_solved\124
125,D:\PROJECTS\Python_projects\PythonMain\data_task\125,D:\PROJECTS\Python_projects\PythonMain\data_solved\125
126,D:\PROJECTS\Python_projects\PythonMain\data_task\126,D:\PROJECTS\Python_projects\PythonMain\data_solved\126
127,D:\PROJECTS\Python_projects\PythonMain\data_task\127,D:\PROJECTS\Python_projects\PythonMain\data_solved\127
128,D:\PROJECTS\Python_projects\PythonMain\data_task\128,D:\PROJECTS\Python_projects\PythonMain\data_solved\128
129,D:\PROJECTS\Python_projects\PythonMain\data_task\129,D:\PROJECTS\Python_projects\PythonMain\data_solved\129
130,D:\PROJECTS\Python_projects\PythonMain\data_task\130,D:\PROJECTS\Python_projects\PythonMain\data_solved\130
131,D:\PROJECTS\Python_projects\PythonMain\data_task\131,D:\PROJECTS\Python_projects\PythonMain\data_solved\131
132,D:\PROJECTS\Python_projects\PythonMain\data_task\132,D:\PROJECTS\Python_projects\PythonMain\data_solved\132
133,D:\PROJECTS\Python_projects\PythonMain\data_task\133,D:\PROJECTS\Python_projects\PythonMain\data_solved\133
134,D:\PROJECTS\Python_projects\PythonMain\data_task\134,D:\PROJECTS\Python_projects\PythonMain\data_solved\134
135,D:\PROJECTS\Python_projects\PythonMain\data_task\135,D:\PROJECTS\Python_projects\PythonMain\data_solved\135
136,D:\PROJECTS\Python_projects\PythonMain\data_task\136,D:\PROJECTS\Python_projects\PythonMain\data_solved\136
137,D:\PROJECTS\Python_projects\PythonMain\data_task\137,D:\PROJECTS\Python_projects\PythonMain\data_solved\137
138,D:\PROJECTS\Python_projects\PythonMain\data_task\138,D:\PROJECTS\Python_projects\PythonMain\data_solved\138
139,D:\PROJECTS\Python_projects\PythonMain\data_task\139,D:\PROJECTS\Python_projects\PythonMain\data_solved\139
140,D:\PROJECTS\Python_projects\PythonMain\data_task\140,D:\PROJECTS\Python_projects\PythonMain\data_solved\140
141,D:\PROJECTS\Python_projects\PythonMain\data_task\141,D:\PROJECTS\Python_projects\PythonMain\data_solved\141
142,D:\PROJECTS\Python_projects\PythonMain\data_task\142,D:\PROJECTS\Python_projects\PythonMain\data_solved\142
143,D:\PROJECTS\Python_projects\PythonMain\data_task\143,D:\PROJECTS\Python_projects\PythonMain\data_solved\143
144,D:\PROJECTS\Python_projects\PythonMain\data_task\144,D:\PROJECTS\Python_projects\PythonMain\data_solved\144
145,D:\PROJECTS\Python_projects\PythonMain\data_task\145,D:\PROJECTS\Python_projects\PythonMain\data_solved\145
146,D:\PROJECTS\Python_projects\PythonMain\data_task\146,D:\PROJECTS\Python_projects\PythonMain\data_solved\146
147,D:\PROJECTS\Python_projects\PythonMain\data_task\147,D:\PROJECTS\Python_projects\PythonMain\data_solved\147
148,D:\PROJECTS\Python_projects\PythonMain\data_task\148,D:\PROJECTS\Python_projects\PythonMain\data_solved\148
149,D:\PROJECTS\Python_projects\PythonMain\data_task\149,D:\PROJECTS\Python_projects\PythonMain\data_solved\149
150,D:\PROJECTS\Python_projects\PythonMain\data_task\150,D:\PROJECTS\Python_projects\PythonMain\data_solved\150
151,D:\PROJECTS\Python_projects\PythonMain\data_task\151,D:\PROJECTS\Python_projects\PythonMain\data_solved\151
152,D:\PROJECTS\Python_projects\PythonMain\data_task\152,D:\PROJECTS\Python_projects\PythonMain\data_solved\152
153,D:\PROJECTS\Python_projects\PythonMain\data_task\153,D:\PROJECTS\Python_projects\PythonMain\data_solved\153
154,D:\PROJECTS\Python_projects\PythonMain\data_task\154,D:\PROJECTS\Python_projects\PythonMain\data_solved\154
155,D:\PROJECTS\Python_projects\PythonMain\data_task\155,D:\PROJECTS\Python_projects\PythonMain\data_solved\155
156,D:\PROJECTS\Python_projects\PythonMain\data_task\156,D:\PROJECTS\Python_projects\PythonMain\data_solved\156
157,D:\PROJECTS\Python_projects\PythonMain\data_task\157,D:\PROJECTS\Python_projects\PythonMain\data_solved\157
158,D:\PROJECTS\Python_projects\PythonMain\data_task\158,D:\PROJECTS\Python_projects\PythonMain\data_solved\158
159,D:\PROJECTS\Python_projects\PythonMain\data_task\159,D:\PROJECTS\Python_projects\PythonMain\data_solved\159
160,D:\PROJECTS\Python_projects\PythonMain\data_task\160,D:\PROJECTS\Python_projects\PythonMain\data_solved\160
161,D:\PROJECTS\Python_projects\PythonMain\data_task\161,D:\PROJECTS\Python_projects\PythonMain\data_solved\161
162,D:\PROJECTS\Python_projects\PythonMain\data_task\162,D:\PROJECTS\Python_projects\PythonMain\data_solved\162
163,D:\PROJECTS\Python_projects\PythonMain\data_task\163,D:\PROJECTS\Python_projects\PythonMain\data_solved\163
164,D:\PROJECTS\Python_projects\PythonMain\data_task\164,D:\PROJECTS\Python_projects\PythonMain\data_solved\164
165,D:\PROJECTS\Python_projects\PythonMain\data_task\165,D:\PROJECTS\Python_projects\PythonMain\data_solved\165
166,D:\PROJECTS\Python_projects\PythonMain\data_task\166,D:\PROJECTS\Python_projects\PythonMain\data_solved\166
167,D:\PROJECTS\Python_projects\PythonMain\data_task\167,D:\PROJECTS\Python_projects\PythonMain\data_solved\167
168,D:\PROJECTS\Python_projects\PythonMain\data_task\168,D:\PROJECTS\Python_projects\PythonMain\data_solved\168
169,D:\PROJECTS\Python_projects\PythonMain\data_task\169,D:\PROJECTS\Python_projects\PythonMain\data_solved\169
170,D:\PROJECTS\Python_projects\PythonMain\data_task\170,D:\PROJECTS\Python_projects\PythonMain\data_solved\170
171,D:\PROJECTS\Python_projects\PythonMain\data_task\171,D:\PROJECTS\Python_projects\PythonMain\data_solved\171
172,D:\PROJECTS\Python_projects\PythonMain\data_task\172,D:\PROJECTS\Python_projects\PythonMain\data_solved\172
173,D:\PROJECTS\Python_projects\PythonMain\data_task\173,D:\PROJECTS\Python_projects\PythonMain\data_solved\173
174,D:\PROJECTS\Python_projects\PythonMain\data_task\174,D:\PROJECTS\Python_projects\PythonMain\data_solved\174
175,D:\PROJECTS\Python_projects\PythonMain\data_task\175,D:\PROJECTS\Python_projects\PythonMain\data_solved\175
176,D:\PROJECTS\Python_projects\PythonMain\data_task\176,D:\PROJECTS\Python_projects\PythonMain\data_solved\176
177,D:\PROJECTS\Python_projects\PythonMain\data_task\177,D:\PROJECTS\Python_projects\PythonMain\data_solved\177
178,D:\PROJECTS\Python_projects\PythonMain\data_task\178,D:\PROJECTS\Python_projects\PythonMain\data_solved\178
179,D:\PROJECTS\Python_projects\PythonMain\data_task\179,D:\PROJECTS\Python_projects\PythonMain\data_solved\179
180,D:\PROJECTS\Python_projects\PythonMain\data_task\180,D:\PROJECTS\Python_projects\PythonMain\data_solved\180
181,D:\PROJECTS\Python_projects\PythonMain\data_task\181,D:\PROJECTS\Python_projects\PythonMain\data_solved\181
182,D:\PROJECTS\Python_projects\PythonMain\data_task\182,D:\PROJECTS\Python_projects\PythonMain\data_solved\182
183,D:\PROJECTS\Python_projects\PythonMain\data_task\183,D:\PROJECTS\Python_projects\PythonMain\data_solved\183
184,D:\PROJECTS\Python_projects\PythonMain\data_task\184,D:\PROJECTS\Python_projects\PythonMain\data_solved\184
185,D:\PROJECTS\Python_projects\PythonMain\data_task\185,D:\PROJECTS\Python_projects\PythonMain\data_solved\185
186,D:\PROJECTS\Python_projects\PythonMain\data_task\186,D:\PROJECTS\Python_projects\PythonMain\data_solved\186
187,D:\PROJECTS\Python_projects\PythonMain\data_task\187,D:\PROJECTS\Python_projects\PythonMain\data_solved\187
188,D:\PROJECTS\Python_projects\PythonMain\data_task\188,D:\PROJECTS\Python_projects\PythonMain\data_solved\188
189,D:\PROJECTS\Python_projects\PythonMain\data_task\189,D:\PROJECTS\Python_projects\PythonMain\data_solved\189
190,D:\PROJECTS\Python_projects\PythonMain\data_task\190,D:\PROJECTS\Python_projects\PythonMain\data_solved\190
191,D:\PROJECTS\Python_projects\PythonMain\data_task\191,D:\PROJECTS\Python_projects\PythonMain\data_solved\191
192,D:\PROJECTS\Python_projects\PythonMain\data_task\192,D:\PROJECTS\Python_projects\PythonMain\data_solved\192
193,D:\PROJECTS\Python_projects\PythonMain\data_task\193,D:\PROJECTS\Python_projects\PythonMain\data_solved\193
194,D:\PROJECTS\Python_projects\PythonMain\data_task\194,D:\PROJECTS\Python_projects\PythonMain\data_solved\194
195,D:\PROJECTS\Python_projects\PythonMain\data_task\195,D:\PROJECTS\Python_projects\PythonMain\data_solved\195
196,D:\PROJECTS\Python_projects\PythonMain\data_task\196,D:\PROJECTS\Python_projects\PythonMain\data_solved\196
197,D:\PROJECTS\Python_projects\PythonMain\data_task\197,D:\PROJECTS\Python_projects\PythonMain\data_solved\197
198,D:\PROJECTS\Python_projects\PythonMain\data_task\198,D:\PROJECTS\Python_projects\PythonMain\data_solved\198
199,D:\PROJECTS\Python_projects\PythonMain\data_task\199,D:\PROJECTS\Python_projects\PythonMain\data_solved\199
200,D:\PROJECTS\Python_projects\PythonMain\data_task\200,D:\PROJECTS\Python_projects\PythonMain\data_solved\200
201,D:\PROJECTS\Python_projects\PythonMain\data_task\201,D:\PROJECTS\Python_projects\PythonMain\data_solved\201
202,D:\PROJECTS\Python_projects\PythonMain\data_task\202,D:\PROJECTS\Python_projects\PythonMain\data_solved\202
203,D:\PROJECTS\Python_projects\PythonMain\data_task\203,D:\PROJECTS\Python_projects\PythonMain\data_solved\203
204,D:\PROJECTS\Python_projects\PythonMain\data_task\204,D:\PROJECTS\Python_projects\PythonMain\data_solved\204
205,D:\PROJECTS\Python_projects\PythonMain\data_task\205,D:\PROJECTS\Python_projects\PythonMain\data_solved\205
206,D:\PROJECTS\Python_projects\PythonMain\data_task\206,D:\PROJECTS\Python_projects\PythonMain\data_solved\206
207,D:\PROJECTS\Python_projects\PythonMain\data_task\207,D:\PROJECTS\Python_projects\PythonMain\data_solved\207
208,D:\PROJECTS\Python_projects\PythonMain\data_task\208,D:\PROJECTS\Python_projects\PythonMain\data_solved\208
209,D:\PROJECTS\Python_projects\PythonMain\data_task\209,D:\PROJECTS\Python_projects\PythonMain\data_solved\209
210,D:\PROJECTS\Python_projects\PythonMain\data_task\210,D:\PROJECTS\Python_projects\PythonMain\data_solved\210
211,D:\PROJECTS\Python_projects\PythonMain\data_task\211,D:\PROJECTS\Python_projects\PythonMain\data_solved\211
212,D:\PROJECTS\Python_projects\PythonMain\data_task\212,D:\PROJECTS\Python_projects\PythonMain\data_solved\212
213,D:\PROJECTS\Python_projects\PythonMain\data_task\213,D:\PROJECTS\Python_projects\PythonMain\data_solved\213
214,D:\PROJECTS\Python_projects\PythonMain\data_task\214,D:\PROJECTS\Python_projects\PythonMain\data_solved\214
215,D:\PROJECTS\Python_projects\PythonMain\data_task\215,D:\PROJECTS\Python_projects\PythonMain\data_solved\215
216,D:\PROJECTS\Python_projects\PythonMain\data_task\216,D:\PROJECTS\Python_projects\PythonMain\data_solved\216
217,D:\PROJECTS\Python_projects\PythonMain\data_task\217,D:\PROJECTS\Python_projects\PythonMain\data_solved\217
218,D:\PROJECTS\Python_projects\PythonMain\data_task\218,D:\PROJECTS\Python_projects\PythonMain\data_solved\218
219,D:\PROJECTS\Python_projects\PythonMain\data_task\219,D:\PROJECTS\Python_projects\PythonMain\data_solved\219
220,D:\PROJECTS\Python_projects\PythonMain\data_task\220,D:\PROJECTS\Python_projects\PythonMain\data_solved\220
221,D:\PROJECTS\Python_projects\PythonMain\data_task\221,D:\PROJECTS\Python_projects\PythonMain\data_solved\221
222,D:\PROJECTS\Python_projects\PythonMain\data_task\222,D:\PROJECTS\Python_projects\PythonMain\data_solved\222
223,D:\PROJECTS\Python_projects\PythonMain\data_task\223,D:\PROJECTS\Python_projects\PythonMain\data_solved\223
224,D:\PROJECTS\Python_projects\PythonMain\data_task\224,D:\PROJECTS\Python_projects\PythonMain\data_solved\224
225,D:\PROJECTS\Python_projects\PythonMain\data_task\225,D:\PROJECTS\Python_projects\PythonMain\data_solved\225
226,D:\PROJECTS\Python_projects\PythonMain\data_task\226,D:\PROJECTS\Python_projects\PythonMain\data_solved\226
227,D:\PROJECTS\Python_projects\PythonMain\data_task\227,D:\PROJECTS\Python_projects\PythonMain\data_solved\227
228,D:\PROJECTS\Python_projects\PythonMain\data_task\228,D:\PROJECTS\Python_projects\PythonMain\data_solved\228
229,D:\PROJECTS\Python_projects\PythonMain\data_task\229,D:\PROJECTS\Python_projects\PythonMain\data_solved\229
230,D:\PROJECTS\Python_projects\PythonMain\data_task\230,D:\PROJECTS\Python_projects\PythonMain\data_solved\230
231,D:\PROJECTS\Python_projects\PythonMain\data_task\231,D:\PROJECTS\Python_projects\PythonMain\data_solved\231
232,D:\PROJECTS\Python_projects\PythonMain\data_task\232,D:\PROJECTS\Python_projects\PythonMain\data_solved\232
233,D:\PROJECTS\Python_projects\PythonMain\data_task\233,D:\PROJECTS\Python_projects\PythonMain\data_solved\233
234,D:\PROJECTS\Python_projects\PythonMain\data_task\234,D:\PROJECTS\Python_projects\PythonMain\data_solved\234
235,D:\PROJECTS\Python_projects\PythonMain\data_task\235,D:\PROJECTS\Python_projects\PythonMain\data_solved\235
236,D:\PROJECTS\Python_projects\PythonMain\data_task\236,D:\PROJECTS\Python_projects\PythonMain\data_solved\236
